pX,pY,pZ
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
0, -65.51071, -88.1142
